ORIGINAL FILENAME:
Qkl_171_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   2.7822872e-16      0.00000
       5.0043090   2.8295371e-16      0.00000
       5.0086181   2.8767870e-16      0.00000
       5.0129271   2.9240369e-16      0.00000
       5.0172362   2.9712868e-16      0.00000
       5.0215452   3.0185367e-16      0.00000
       5.0258543   3.0662183e-16      0.00000
       5.0301633   3.1141804e-16      0.00000
       5.0344724   3.1621425e-16      0.00000
       5.0387814   3.2101046e-16      0.00000
       5.0430904   3.2580667e-16      0.00000
       5.0473995   3.3061722e-16      0.00000
       5.0517085   3.3548102e-16      0.00000
       5.0560176   3.4034481e-16      0.00000
       5.0603266   3.4520861e-16      0.00000
       5.0646357   3.5007241e-16      0.00000
       5.0689447   3.5493621e-16      0.00000
       5.0732538   3.6000390e-16      0.00000
       5.0775628   3.6511692e-16      0.00000
       5.0818719   3.7022993e-16      0.00000
       5.0861809   3.7534295e-16      0.00000
       5.0904899   3.8045596e-16      0.00000
       5.0947990   3.8573872e-16      0.00000
       5.0991080   3.9125182e-16      0.00000
       5.1034171   3.9676491e-16      0.00000
       5.1077261   4.0227801e-16      0.00000
       5.1120352   4.0779111e-16      0.00000
       5.1163442   4.1332560e-16      0.00000
       5.1206533   4.1954543e-16      0.00000
       5.1249623   4.2576526e-16      0.00000
       5.1292713   4.3198509e-16      0.00000
       5.1335804   4.3820492e-16      0.00000
       5.1378894   4.4442475e-16      0.00000
       5.1421985   4.5133027e-16      0.00000
       5.1465075   4.5862759e-16      0.00000
       5.1508166   4.6592491e-16      0.00000
       5.1551256   4.7322223e-16      0.00000
       5.1594347   4.8051955e-16      0.00000
       5.1637437   4.8819705e-16      0.00000
       5.1680528   4.9706281e-16      0.00000
       5.1723618   5.0592856e-16      0.00000
       5.1766708   5.1479432e-16      0.00000
       5.1809799   5.2366008e-16      0.00000
       5.1852889   5.3252583e-16      0.00000
       5.1895980   5.4319570e-16      0.00000
       5.1939070   5.5418767e-16      0.00000
       5.1982161   5.6517963e-16      0.00000
       5.2025251   5.7617160e-16      0.00000
       5.2068342   5.8716356e-16      0.00000
       5.2111432   5.9940079e-16      0.00000
       5.2154522   6.1313247e-16      0.00000
       5.2197613   6.2686415e-16      0.00000
       5.2240703   6.4059583e-16      0.00000
       5.2283794   6.5432751e-16      0.00000
       5.2326884   6.6827374e-16      0.00000
       5.2369975   6.8554337e-16      0.00000
       5.2413065   7.0281300e-16      0.00000
       5.2456156   7.2008263e-16      0.00000
       5.2499246   7.3735226e-16      0.00000
       5.2542337   7.5462190e-16      0.00000
       5.2585427   7.7475720e-16      0.00000
       5.2628517   7.9632544e-16      0.00000
       5.2671608   8.1789369e-16      0.00000
       5.2714698   8.3946193e-16      0.00000
       5.2757789   8.6103018e-16      0.00000
       5.2800879   8.8406132e-16      0.00000
       5.2843970   9.1099269e-16      0.00000
       5.2887060   9.3792406e-16      0.00000
       5.2930151   9.6485543e-16      0.00000
       5.2973241   9.9178680e-16      0.00000
       5.3016331   1.0187182e-15      0.00000
       5.3059422   1.0501078e-15      0.00000
       5.3102512   1.0821124e-15      0.00000
       5.3145603   1.1141171e-15      0.00000
       5.3188693   1.1461217e-15      0.00000
       5.3231784   1.1781263e-15      0.00000
       5.3274874   1.2121674e-15      0.00000
       5.3317965   1.2483717e-15      0.00000
       5.3361055   1.2845761e-15      0.00000
       5.3404145   1.3207805e-15      0.00000
       5.3447236   1.3569848e-15      0.00000
       5.3490326   1.3933156e-15      0.00000
       5.3533417   1.4309101e-15      0.00000
       5.3576507   1.4685047e-15      0.00000
       5.3619598   1.5060993e-15      0.00000
       5.3662688   1.5436939e-15      0.00000
       5.3705779   1.5812885e-15      0.00000
       5.3748869   1.6168362e-15      0.00000
       5.3791960   1.6514942e-15      0.00000
       5.3835050   1.6861522e-15      0.00000
       5.3878140   1.7208102e-15      0.00000
       5.3921231   1.7554682e-15      0.00000
       5.3964321   1.7872041e-15      0.00000
       5.4007412   1.8122194e-15      0.00000
       5.4050502   1.8372346e-15      0.00000
       5.4093593   1.8622498e-15      0.00000
       5.4136683   1.8872650e-15      0.00000
