ORIGINAL FILENAME:
Qkl_193_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   6.0709186e-16      0.00000
       5.0043090   6.1798828e-16      0.00000
       5.0086181   6.2888469e-16      0.00000
       5.0129271   6.3978111e-16      0.00000
       5.0172362   6.5067753e-16      0.00000
       5.0215452   6.6157395e-16      0.00000
       5.0258543   6.7299125e-16      0.00000
       5.0301633   6.8474704e-16      0.00000
       5.0344724   6.9650283e-16      0.00000
       5.0387814   7.0825862e-16      0.00000
       5.0430904   7.2001441e-16      0.00000
       5.0473995   7.3203027e-16      0.00000
       5.0517085   7.4501203e-16      0.00000
       5.0560176   7.5799380e-16      0.00000
       5.0603266   7.7097556e-16      0.00000
       5.0646357   7.8395733e-16      0.00000
       5.0689447   7.9693909e-16      0.00000
       5.0732538   8.1156646e-16      0.00000
       5.0775628   8.2655963e-16      0.00000
       5.0818719   8.4155280e-16      0.00000
       5.0861809   8.5654597e-16      0.00000
       5.0904899   8.7153914e-16      0.00000
       5.0947990   8.8772354e-16      0.00000
       5.0991080   9.0552450e-16      0.00000
       5.1034171   9.2332546e-16      0.00000
       5.1077261   9.4112642e-16      0.00000
       5.1120352   9.5892738e-16      0.00000
       5.1163442   9.7685140e-16      0.00000
       5.1206533   9.9871838e-16      0.00000
       5.1249623   1.0205854e-15      0.00000
       5.1292713   1.0424523e-15      0.00000
       5.1335804   1.0643193e-15      0.00000
       5.1378894   1.0861863e-15      0.00000
       5.1421985   1.1116450e-15      0.00000
       5.1465075   1.1391560e-15      0.00000
       5.1508166   1.1666669e-15      0.00000
       5.1551256   1.1941779e-15      0.00000
       5.1594347   1.2216889e-15      0.00000
       5.1637437   1.2510788e-15      0.00000
       5.1680528   1.2863414e-15      0.00000
       5.1723618   1.3216040e-15      0.00000
       5.1766708   1.3568666e-15      0.00000
       5.1809799   1.3921292e-15      0.00000
       5.1852889   1.4273918e-15      0.00000
       5.1895980   1.4713843e-15      0.00000
       5.1939070   1.5169355e-15      0.00000
       5.1982161   1.5624866e-15      0.00000
       5.2025251   1.6080378e-15      0.00000
       5.2068342   1.6535890e-15      0.00000
       5.2111432   1.7050825e-15      0.00000
       5.2154522   1.7637075e-15      0.00000
       5.2197613   1.8223325e-15      0.00000
       5.2240703   1.8809575e-15      0.00000
       5.2283794   1.9395826e-15      0.00000
       5.2326884   1.9991948e-15      0.00000
       5.2369975   2.0741003e-15      0.00000
       5.2413065   2.1490057e-15      0.00000
       5.2456156   2.2239111e-15      0.00000
       5.2499246   2.2988165e-15      0.00000
       5.2542337   2.3737219e-15      0.00000
       5.2585427   2.4609852e-15      0.00000
       5.2628517   2.5544280e-15      0.00000
       5.2671608   2.6478707e-15      0.00000
       5.2714698   2.7413134e-15      0.00000
       5.2757789   2.8347562e-15      0.00000
       5.2800879   2.9338444e-15      0.00000
       5.2843970   3.0479841e-15      0.00000
       5.2887060   3.1621237e-15      0.00000
       5.2930151   3.2762634e-15      0.00000
       5.2973241   3.3904031e-15      0.00000
       5.3016331   3.5045428e-15      0.00000
       5.3059422   3.6347155e-15      0.00000
       5.3102512   3.7670999e-15      0.00000
       5.3145603   3.8994843e-15      0.00000
       5.3188693   4.0318686e-15      0.00000
       5.3231784   4.1642530e-15      0.00000
       5.3274874   4.3030409e-15      0.00000
       5.3317965   4.4486311e-15      0.00000
       5.3361055   4.5942212e-15      0.00000
       5.3404145   4.7398114e-15      0.00000
       5.3447236   4.8854016e-15      0.00000
       5.3490326   5.0309895e-15      0.00000
       5.3533417   5.1765547e-15      0.00000
       5.3576507   5.3221198e-15      0.00000
       5.3619598   5.4676850e-15      0.00000
       5.3662688   5.6132501e-15      0.00000
       5.3705779   5.7588153e-15      0.00000
       5.3748869   5.8907870e-15      0.00000
       5.3791960   6.0168501e-15      0.00000
       5.3835050   6.1429132e-15      0.00000
       5.3878140   6.2689763e-15      0.00000
       5.3921231   6.3950393e-15      0.00000
       5.3964321   6.5069065e-15      0.00000
       5.4007412   6.5861238e-15      0.00000
       5.4050502   6.6653410e-15      0.00000
       5.4093593   6.7445583e-15      0.00000
       5.4136683   6.8237756e-15      0.00000
       5.4179774   6.9029928e-15      0.00000
       5.4222864   6.9250939e-15      0.00000
       5.4265954   6.9414801e-15      0.00000
       5.4309045   6.9578664e-15      0.00000
       5.4352135   6.9742526e-15      0.00000
       5.4395226   6.9906388e-15      0.00000
       5.4438316   6.9719096e-15      0.00000
       5.4481407   6.9201319e-15      0.00000
       5.4524497   6.8683543e-15      0.00000
       5.4567588   6.8165767e-15      0.00000
       5.4610678   6.7647991e-15      0.00000
       5.4653769   6.7084691e-15      0.00000
       5.4696859   6.6191212e-15      0.00000
       5.4739949   6.5297733e-15      0.00000
       5.4783040   6.4404255e-15      0.00000
       5.4826130   6.3510776e-15      0.00000
       5.4869221   6.2617298e-15      0.00000
       5.4912311   6.1733410e-15      0.00000
       5.4955402   6.0853118e-15      0.00000
       5.4998492   5.9972827e-15      0.00000
       5.5041583   5.9092535e-15      0.00000
       5.5084673   5.8212244e-15      0.00000
       5.5127763   5.7424374e-15      0.00000
       5.5170854   5.6821374e-15      0.00000
       5.5213944   5.6218374e-15      0.00000
       5.5257035   5.5615374e-15      0.00000
       5.5300125   5.5012375e-15      0.00000
       5.5343216   5.4409375e-15      0.00000
       5.5386306   5.4172985e-15      0.00000
       5.5429397   5.3960237e-15      0.00000
       5.5472487   5.3747489e-15      0.00000
       5.5515578   5.3534742e-15      0.00000
       5.5558668   5.3321994e-15      0.00000
       5.5601758   5.3289379e-15      0.00000
       5.5644849   5.3406890e-15      0.00000
       5.5687939   5.3524402e-15      0.00000
       5.5731030   5.3641913e-15      0.00000
       5.5774120   5.3759425e-15      0.00000
       5.5817211   5.3911846e-15      0.00000
       5.5860301   5.4259707e-15      0.00000
       5.5903392   5.4607568e-15      0.00000
       5.5946482   5.4955429e-15      0.00000
       5.5989572   5.5303290e-15      0.00000
       5.6032663   5.5651151e-15      0.00000
       5.6075753   5.6092698e-15      0.00000
       5.6118844   5.6564226e-15      0.00000
       5.6161934   5.7035755e-15      0.00000
       5.6205025   5.7507283e-15      0.00000
       5.6248115   5.7978812e-15      0.00000
       5.6291206   5.8468295e-15      0.00000
       5.6334296   5.8989193e-15      0.00000
       5.6377387   5.9510091e-15      0.00000
       5.6420477   6.0030989e-15      0.00000
       5.6463567   6.0551886e-15      0.00000
       5.6506658   6.1072784e-15      0.00000
       5.6549748   6.1583792e-15      0.00000
       5.6592839   6.2094490e-15      0.00000
       5.6635929   6.2605188e-15      0.00000
       5.6679020   6.3115886e-15      0.00000
       5.6722110   6.3626584e-15      0.00000
       5.6765201   6.4116272e-15      0.00000
       5.6808291   6.4590483e-15      0.00000
       5.6851381   6.5064693e-15      0.00000
       5.6894472   6.5538903e-15      0.00000
       5.6937562   6.6013114e-15      0.00000
       5.6980653   6.5834449e-15      0.00000
       5.7023743   6.6238915e-15      0.00000
       5.7066834   6.6654864e-15      0.00000
       5.7109924   6.7058845e-15      0.00000
       5.7153015   6.7451420e-15      0.00000
       5.7196105   6.7832143e-15      0.00000
       5.7239195   6.8199853e-15      0.00000
       5.7282286   6.8557574e-15      0.00000
       5.7325376   6.8905353e-15      0.00000
       5.7368467   6.9243149e-15      0.00000
       5.7411557   6.9568872e-15      0.00000
       5.7454648   6.9881750e-15      0.00000
       5.7497738   7.0182972e-15      0.00000
       5.7540829   7.0472575e-15      0.00000
       5.7583919   7.0750998e-15      0.00000
       5.7627010   7.1017540e-15      0.00000
       5.7670100   7.1275809e-15      0.00000
       5.7713190   7.1527611e-15      0.00000
       5.7756281   7.1773747e-15      0.00000
       5.7799371   7.2014917e-15      0.00000
       5.7842462   7.2250385e-15      0.00000
       5.7885552   7.2481902e-15      0.00000
       5.7928643   7.2709440e-15      0.00000
       5.7971733   7.2932783e-15      0.00000
       5.8014824   7.3151151e-15      0.00000
       5.8057914   7.3364282e-15      0.00000
       5.8101004   7.3576013e-15      0.00000
       5.8144095   7.3788114e-15      0.00000
       5.8187185   7.4002278e-15      0.00000
       5.8230276   7.4221076e-15      0.00000
       5.8273366   7.4447203e-15      0.00000
       5.8316457   7.4680816e-15      0.00000
       5.8359547   7.4922812e-15      0.00000
       5.8402638   7.5173980e-15      0.00000
       5.8445728   7.5437501e-15      0.00000
       5.8488819   7.5712525e-15      0.00000
       5.8531909   7.5998803e-15      0.00000
       5.8574999   7.6298396e-15      0.00000
       5.8618090   7.6614168e-15      0.00000
       5.8661180   7.6957519e-15      0.00000
       5.8704271   7.7326926e-15      0.00000
       5.8747361   7.7724388e-15      0.00000
       5.8790452   7.8152481e-15      0.00000
       5.8833542   7.8615700e-15      0.00000
       5.8876633   7.9127109e-15      0.00000
       5.8919723   7.9678320e-15      0.00000
       5.8962813   8.0271018e-15      0.00000
       5.9005904   8.0906974e-15      0.00000
       5.9048994   8.1594994e-15      0.00000
       5.9092085   8.2348119e-15      0.00000
       5.9135175   8.3162045e-15      0.00000
       5.9178266   8.4042305e-15      0.00000
       5.9221356   8.4994362e-15      0.00000
       5.9264447   8.6043245e-15      0.00000
       5.9307537   8.7191526e-15      0.00000
       5.9350628   8.8433128e-15      0.00000
       5.9393718   8.9772727e-15      0.00000
       5.9436808   9.1214900e-15      0.00000
       5.9479899   9.2799270e-15      0.00000
       5.9522989   9.4503997e-15      0.00000
       5.9566080   9.6331477e-15      0.00000
       5.9609170   9.8290233e-15      0.00000
       5.9652261   1.0039497e-14      0.00000
       5.9695351   1.0270533e-14      0.00000
       5.9738442   1.0518383e-14      0.00000
       5.9781532   1.0783822e-14      0.00000
       5.9824622   1.1067590e-14      0.00000
       5.9867713   1.1372777e-14      0.00000
       5.9910803   1.1702786e-14      0.00000
       5.9953894   1.2053262e-14      0.00000
       5.9996984   1.2424369e-14      0.00000
       6.0040075   1.2816369e-14      0.00000
       6.0083165   1.3234610e-14      0.00000
       6.0126256   1.3679720e-14      0.00000
       6.0169346   1.4149063e-14      0.00000
       6.0212436   1.4643325e-14      0.00000
       6.0255527   1.5163094e-14      0.00000
       6.0298617   1.5716444e-14      0.00000
       6.0341708   1.6297916e-14      0.00000
       6.0384798   1.6905210e-14      0.00000
       6.0427889   1.7537730e-14      0.00000
       6.0470979   1.8195035e-14      0.00000
       6.0514070   1.8882492e-14      0.00000
       6.0557160   1.9590931e-14      0.00000
       6.0600251   2.0320139e-14      0.00000
       6.0643341   2.1069783e-14      0.00000
       6.0686431   2.1841243e-14      0.00000
       6.0729522   2.2635894e-14      0.00000
       6.0772612   2.3446881e-14      0.00000
       6.0815703   2.4272262e-14      0.00000
       6.0858793   2.5109822e-14      0.00000
       6.0901884   2.5957690e-14      0.00000
       6.0944974   2.6809408e-14      0.00000
       6.0988065   2.7658900e-14      0.00000
       6.1031155   2.8502244e-14      0.00000
       6.1074245   2.9335891e-14      0.00000
       6.1117336   3.0153249e-14      0.00000
       6.1160426   3.0952823e-14      0.00000
       6.1203517   3.1732898e-14      0.00000
       6.1246607   3.2490383e-14      0.00000
       6.1289698   3.3221988e-14      0.00000
       6.1332788   3.3910306e-14      0.00000
       6.1375879   3.4559729e-14      0.00000
       6.1418969   3.5165324e-14      0.00000
       6.1462060   3.5721775e-14      0.00000
       6.1505150   3.6218435e-14      0.00000
       6.1548240   3.6634329e-14      0.00000
       6.1591331   3.6985115e-14      0.00000
       6.1634421   3.7269636e-14      0.00000
       6.1677512   3.7486747e-14      0.00000
       6.1720602   3.7623480e-14      0.00000
       6.1763693   3.7674826e-14      0.00000
       6.1806783   3.7652696e-14      0.00000
       6.1849874   3.7555356e-14      0.00000
       6.1892964   3.7380998e-14      0.00000
       6.1936054   3.7107140e-14      0.00000
       6.1979145   3.6741453e-14      0.00000
       6.2022235   3.6292145e-14      0.00000
       6.2065326   3.5758111e-14      0.00000
       6.2108416   3.5138697e-14      0.00000
       6.2151507   3.4433006e-14      0.00000
       6.2194597   3.3662463e-14      0.00000
       6.2237688   3.2828849e-14      0.00000
       6.2280778   3.1934792e-14      0.00000
       6.2323869   3.0983052e-14      0.00000
       6.2366959   2.9967378e-14      0.00000
       6.2410049   2.8907313e-14      0.00000
       6.2453140   2.7806221e-14      0.00000
       6.2496230   2.6667623e-14      0.00000
       6.2539321   2.5491391e-14      0.00000
       6.2582411   2.4289239e-14      0.00000
       6.2625502   2.3076560e-14      0.00000
       6.2668592   2.1860442e-14      0.00000
       6.2711683   2.0647468e-14      0.00000
       6.2754773   1.9447884e-14      0.00000
       6.2797863   1.8268926e-14      0.00000
       6.2840954   1.7112768e-14      0.00000
       6.2884044   1.5982703e-14      0.00000
       6.2927135   1.4881703e-14      0.00000
       6.2970225   1.3823545e-14      0.00000
       6.3013316   1.2802692e-14      0.00000
       6.3056406   1.1820912e-14      0.00000
       6.3099497   1.0881372e-14      0.00000
       6.3142587   9.9891749e-15      0.00000
       6.3185678   9.1609216e-15      0.00000
       6.3228768   8.3819290e-15      0.00000
       6.3271858   7.6519780e-15      0.00000
       6.3314949   6.9705664e-15      0.00000
       6.3358039   6.3424715e-15      0.00000
       6.3401130   5.7703517e-15      0.00000
       6.3444220   5.2412097e-15      0.00000
       6.3487311   4.7531489e-15      0.00000
       6.3530401   4.3042760e-15      0.00000
       6.3573492   3.9000554e-15      0.00000
       6.3616582   3.5354325e-15      0.00000
       6.3659672   3.2029543e-15      0.00000
       6.3702763   2.9007914e-15      0.00000
       6.3745853   2.6270836e-15      0.00000
       6.3788944   2.3867221e-15      0.00000
       6.3832034   2.1708010e-15      0.00000
       6.3875125   1.9759749e-15      0.00000
       6.3918215   1.8006218e-15      0.00000
       6.3961306   1.6434271e-15      0.00000
       6.4004396   1.5070881e-15      0.00000
       6.4047486   1.3843055e-15      0.00000
       6.4090577   1.2739707e-15      0.00000
       6.4133667   1.1750265e-15      0.00000
       6.4176758   1.0873968e-15      0.00000
       6.4219848   1.0109432e-15      0.00000
       6.4262939   9.4229357e-16      0.00000
       6.4306029   8.8075387e-16      0.00000
       6.4349120   8.2566925e-16      0.00000
       6.4392210   7.7734126e-16      0.00000
       6.4435301   7.3471128e-16      0.00000
       6.4478391   6.9636398e-16      0.00000
       6.4521481   6.6188809e-16      0.00000
       6.4564572   6.3090454e-16      0.00000
       6.4607662   6.0383250e-16      0.00000
       6.4650753   5.7966766e-16      0.00000
       6.4693843   5.5792686e-16      0.00000
       6.4736934   5.3840569e-16      0.00000
       6.4780024   5.2091055e-16      0.00000
       6.4823115   5.0580615e-16      0.00000
       6.4866205   4.9222119e-16      0.00000
       6.4909295   4.8001363e-16      0.00000
       6.4952386   4.6904920e-16      0.00000
       6.4995476   4.5927590e-16      0.00000
       6.5038567   4.5068198e-16      0.00000
       6.5081657   4.4289398e-16      0.00000
       6.5124748   4.3584314e-16      0.00000
       6.5167838   4.2946428e-16      0.00000
       6.5210929   4.2378162e-16      0.00000
       6.5254019   4.1870639e-16      0.00000
       6.5297110   4.1407479e-16      0.00000
       6.5340200   4.0983724e-16      0.00000
       6.5383290   4.0594641e-16      0.00000
       6.5426381   4.0242257e-16      0.00000
       6.5469471   3.9914935e-16      0.00000
       6.5512562   3.9605573e-16      0.00000
       6.5555652   3.9312035e-16      0.00000
       6.5598743   3.9033458e-16      0.00000
       6.5641833   3.8775343e-16      0.00000
       6.5684924   3.8533352e-16      0.00000
       6.5728014   3.8307544e-16      0.00000
       6.5771104   3.8098290e-16      0.00000
       6.5814195   3.7907047e-16      0.00000
       6.5857285   3.7738423e-16      0.00000
       6.5900376   3.7587376e-16      0.00000
       6.5943466   3.7453792e-16      0.00000
       6.5986557   3.7337459e-16      0.00000
       6.6029647   3.7240460e-16      0.00000
       6.6072738   3.7166525e-16      0.00000
       6.6115828   3.7114914e-16      0.00000
       6.6158919   3.7087742e-16      0.00000
       6.6202009   3.7086887e-16      0.00000
       6.6245099   3.7120904e-16      0.00000
       6.6288190   3.7188108e-16      0.00000
       6.6331280   3.7284756e-16      0.00000
       6.6374371   3.7410319e-16      0.00000
       6.6417461   3.7563907e-16      0.00000
       6.6460552   3.7750963e-16      0.00000
       6.6503642   3.7959974e-16      0.00000
       6.6546733   3.8188211e-16      0.00000
       6.6589823   3.8434704e-16      0.00000
       6.6632913   3.8700010e-16      0.00000
       6.6676004   3.8987116e-16      0.00000
       6.6719094   3.9288061e-16      0.00000
       6.6762185   3.9600218e-16      0.00000
       6.6805275   3.9920574e-16      0.00000
       6.6848366   4.0245320e-16      0.00000
       6.6891456   4.0566127e-16      0.00000
       6.6934547   4.0876277e-16      0.00000
       6.6977637   4.1169575e-16      0.00000
       6.7020727   4.1439999e-16      0.00000
       6.7063818   4.1674761e-16      0.00000
       6.7106908   4.1873441e-16      0.00000
       6.7149999   4.2039094e-16      0.00000
       6.7193089   4.2170204e-16      0.00000
       6.7236180   4.2265101e-16      0.00000
       6.7279270   4.2309129e-16      0.00000
       6.7322361   4.2307763e-16      0.00000
       6.7365451   4.2260833e-16      0.00000
       6.7408542   4.2165641e-16      0.00000
       6.7451632   4.2018083e-16      0.00000
       6.7494722   4.1795676e-16      0.00000
       6.7537813   4.1514990e-16      0.00000
       6.7580903   4.1178639e-16      0.00000
       6.7623994   4.0789586e-16      0.00000
       6.7667084   4.0346293e-16      0.00000
       6.7710175   3.9847608e-16      0.00000
       6.7753265   3.9308547e-16      0.00000
       6.7796356   3.8731626e-16      0.00000
       6.7839446   3.8119236e-16      0.00000
       6.7882536   3.7467925e-16      0.00000
       6.7925627   3.6782087e-16      0.00000
       6.7968717   3.6068841e-16      0.00000
       6.8011808   3.5330037e-16      0.00000
       6.8054898   3.4567819e-16      0.00000
       6.8097989   3.3782253e-16      0.00000
       6.8141079   3.2983172e-16      0.00000
       6.8184170   3.2175272e-16      0.00000
       6.8227260   3.1361475e-16      0.00000
       6.8270351   3.0544457e-16      0.00000
       6.8313441   2.9728341e-16      0.00000
       6.8356531   2.8915981e-16      0.00000
       6.8399622   2.8109066e-16      0.00000
       6.8442712   2.7309165e-16      0.00000
       6.8485803   2.6518636e-16      0.00000
       6.8528893   2.5741489e-16      0.00000
       6.8571984   2.4976801e-16      0.00000
       6.8615074   2.4225875e-16      0.00000
       6.8658165   2.3489937e-16      0.00000
       6.8701255   2.2773173e-16      0.00000
       6.8744345   2.2077435e-16      0.00000
       6.8787436   2.1400325e-16      0.00000
       6.8830526   2.0742467e-16      0.00000
       6.8873617   2.0104445e-16      0.00000
       6.8916707   1.9492291e-16      0.00000
       6.8959798   1.8903568e-16      0.00000
       6.9002888   1.8336576e-16      0.00000
       6.9045979   1.7791762e-16      0.00000
       6.9089069   1.7269592e-16      0.00000
       6.9132160   1.6778966e-16      0.00000
       6.9175250   1.6313145e-16      0.00000
       6.9218340   1.5872412e-16      0.00000
       6.9261431   1.5457472e-16      0.00000
       6.9304521   1.5070946e-16      0.00000
       6.9347612   1.4720777e-16      0.00000
       6.9390702   1.4400218e-16      0.00000
       6.9433793   1.4110458e-16      0.00000
       6.9476883   1.3852743e-16      0.00000
       6.9519974   1.3633922e-16      0.00000
       6.9563064   1.3458837e-16      0.00000
       6.9606154   1.3322385e-16      0.00000
       6.9649245   1.3226645e-16      0.00000
       6.9692335   1.3173827e-16      0.00000
       6.9735426   1.3178315e-16      0.00000
       6.9778516   1.3239485e-16      0.00000
       6.9821607   1.3354624e-16      0.00000
       6.9864697   1.3526750e-16      0.00000
       6.9907788   1.3758959e-16      0.00000
       6.9950878   1.4077010e-16      0.00000
       6.9993969   1.4467346e-16      0.00000
       7.0037059   1.4930676e-16      0.00000
       7.0080149   1.5470453e-16      0.00000
       7.0123240   1.6094622e-16      0.00000
       7.0166330   1.6832512e-16      0.00000
       7.0209421   1.7662620e-16      0.00000
       7.0252511   1.8588470e-16      0.00000
       7.0295602   1.9613481e-16      0.00000
       7.0338692   2.0755304e-16      0.00000
       7.0381783   2.2028073e-16      0.00000
       7.0424873   2.3409240e-16      0.00000
       7.0467963   2.4898952e-16      0.00000
       7.0511054   2.6496800e-16      0.00000
       7.0554144   2.8224650e-16      0.00000
       7.0597235   3.0074845e-16      0.00000
       7.0640325   3.2031905e-16      0.00000
       7.0683416   3.4095060e-16      0.00000
       7.0726506   3.6263108e-16      0.00000
       7.0769597   3.8563433e-16      0.00000
       7.0812687   4.0964649e-16      0.00000
       7.0855777   4.3455026e-16      0.00000
       7.0898868   4.6027679e-16      0.00000
       7.0941958   4.8676398e-16      0.00000
       7.0985049   5.1401916e-16      0.00000
       7.1028139   5.4166786e-16      0.00000
       7.1071230   5.6963551e-16      0.00000
       7.1114320   5.9785467e-16      0.00000
       7.1157411   6.2627573e-16      0.00000
       7.1200501   6.5479595e-16      0.00000
       7.1243592   6.8329503e-16      0.00000
       7.1286682   7.1169355e-16      0.00000
       7.1329772   7.3990800e-16      0.00000
       7.1372863   7.6775873e-16      0.00000
       7.1415953   7.9506917e-16      0.00000
       7.1459044   8.2176983e-16      0.00000
       7.1502134   8.4774168e-16      0.00000
       7.1545225   8.7287236e-16      0.00000
       7.1588315   8.9681981e-16      0.00000
