ORIGINAL FILENAME:
Qkl_335_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   5.2998517e-15      0.00000
       5.0043090   5.3894977e-15      0.00000
       5.0086181   5.4791437e-15      0.00000
       5.0129271   5.5687897e-15      0.00000
       5.0172362   5.6584357e-15      0.00000
       5.0215452   5.7480817e-15      0.00000
       5.0258543   5.8397267e-15      0.00000
       5.0301633   5.9326707e-15      0.00000
       5.0344724   6.0256147e-15      0.00000
       5.0387814   6.1185588e-15      0.00000
       5.0430904   6.2115028e-15      0.00000
       5.0473995   6.3047518e-15      0.00000
       5.0517085   6.3991337e-15      0.00000
       5.0560176   6.4935155e-15      0.00000
       5.0603266   6.5878973e-15      0.00000
       5.0646357   6.6822792e-15      0.00000
       5.0689447   6.7766610e-15      0.00000
       5.0732538   6.8725332e-15      0.00000
       5.0775628   6.9687368e-15      0.00000
       5.0818719   7.0649404e-15      0.00000
       5.0861809   7.1611440e-15      0.00000
       5.0904899   7.2573476e-15      0.00000
       5.0947990   7.3534502e-15      0.00000
       5.0991080   7.4494159e-15      0.00000
       5.1034171   7.5453815e-15      0.00000
       5.1077261   7.6413472e-15      0.00000
       5.1120352   7.7373128e-15      0.00000
       5.1163442   7.8332236e-15      0.00000
       5.1206533   7.9273762e-15      0.00000
       5.1249623   8.0215288e-15      0.00000
       5.1292713   8.1156814e-15      0.00000
       5.1335804   8.2098341e-15      0.00000
       5.1378894   8.3039867e-15      0.00000
       5.1421985   8.3947372e-15      0.00000
       5.1465075   8.4835439e-15      0.00000
       5.1508166   8.5723506e-15      0.00000
       5.1551256   8.6611573e-15      0.00000
       5.1594347   8.7499640e-15      0.00000
       5.1637437   8.8363141e-15      0.00000
       5.1680528   8.9149859e-15      0.00000
       5.1723618   8.9936578e-15      0.00000
       5.1766708   9.0723296e-15      0.00000
       5.1809799   9.1510015e-15      0.00000
       5.1852889   9.2296733e-15      0.00000
       5.1895980   9.2940839e-15      0.00000
       5.1939070   9.3559483e-15      0.00000
       5.1982161   9.4178128e-15      0.00000
       5.2025251   9.4796772e-15      0.00000
       5.2068342   9.5415416e-15      0.00000
       5.2111432   9.5926832e-15      0.00000
       5.2154522   9.6309562e-15      0.00000
       5.2197613   9.6692291e-15      0.00000
       5.2240703   9.7075021e-15      0.00000
       5.2283794   9.7457750e-15      0.00000
       5.2326884   9.7824511e-15      0.00000
       5.2369975   9.7943914e-15      0.00000
       5.2413065   9.8063317e-15      0.00000
       5.2456156   9.8182720e-15      0.00000
       5.2499246   9.8302123e-15      0.00000
       5.2542337   9.8421526e-15      0.00000
       5.2585427   9.8384570e-15      0.00000
       5.2628517   9.8269428e-15      0.00000
       5.2671608   9.8154286e-15      0.00000
       5.2714698   9.8039144e-15      0.00000
       5.2757789   9.7924002e-15      0.00000
       5.2800879   9.7783447e-15      0.00000
       5.2843970   9.7575137e-15      0.00000
       5.2887060   9.7366827e-15      0.00000
       5.2930151   9.7158516e-15      0.00000
       5.2973241   9.6950206e-15      0.00000
       5.3016331   9.6741896e-15      0.00000
       5.3059422   9.6475442e-15      0.00000
       5.3102512   9.6200966e-15      0.00000
       5.3145603   9.5926491e-15      0.00000
       5.3188693   9.5652016e-15      0.00000
       5.3231784   9.5377541e-15      0.00000
       5.3274874   9.5076786e-15      0.00000
       5.3317965   9.4748115e-15      0.00000
       5.3361055   9.4419444e-15      0.00000
       5.3404145   9.4090773e-15      0.00000
       5.3447236   9.3762102e-15      0.00000
       5.3490326   9.3419628e-15      0.00000
       5.3533417   9.2939124e-15      0.00000
       5.3576507   9.2458619e-15      0.00000
       5.3619598   9.1978114e-15      0.00000
       5.3662688   9.1497609e-15      0.00000
       5.3705779   9.1017105e-15      0.00000
       5.3748869   9.0343833e-15      0.00000
       5.3791960   8.9586772e-15      0.00000
       5.3835050   8.8829711e-15      0.00000
       5.3878140   8.8072650e-15      0.00000
       5.3921231   8.7315589e-15      0.00000
       5.3964321   8.6431546e-15      0.00000
       5.4007412   8.5255450e-15      0.00000
       5.4050502   8.4079353e-15      0.00000
       5.4093593   8.2903257e-15      0.00000
       5.4136683   8.1727161e-15      0.00000
       5.4179774   8.0551064e-15      0.00000
       5.4222864   7.9042491e-15      0.00000
       5.4265954   7.7500651e-15      0.00000
       5.4309045   7.5958812e-15      0.00000
       5.4352135   7.4416972e-15      0.00000
       5.4395226   7.2875132e-15      0.00000
       5.4438316   7.1214551e-15      0.00000
       5.4481407   6.9442218e-15      0.00000
       5.4524497   6.7669885e-15      0.00000
       5.4567588   6.5897552e-15      0.00000
       5.4610678   6.4125219e-15      0.00000
       5.4653769   6.2367793e-15      0.00000
       5.4696859   6.0718487e-15      0.00000
       5.4739949   5.9069180e-15      0.00000
       5.4783040   5.7419873e-15      0.00000
       5.4826130   5.5770567e-15      0.00000
       5.4869221   5.4121260e-15      0.00000
       5.4912311   5.2769903e-15      0.00000
       5.4955402   5.1530265e-15      0.00000
       5.4998492   5.0290628e-15      0.00000
       5.5041583   4.9050991e-15      0.00000
       5.5084673   4.7811354e-15      0.00000
       5.5127763   4.6743979e-15      0.00000
       5.5170854   4.6021179e-15      0.00000
       5.5213944   4.5298380e-15      0.00000
       5.5257035   4.4575580e-15      0.00000
       5.5300125   4.3852781e-15      0.00000
       5.5343216   4.3129982e-15      0.00000
       5.5386306   4.2873040e-15      0.00000
       5.5429397   4.2646141e-15      0.00000
       5.5472487   4.2419241e-15      0.00000
       5.5515578   4.2192341e-15      0.00000
       5.5558668   4.1965442e-15      0.00000
       5.5601758   4.1940192e-15      0.00000
       5.5644849   4.2083001e-15      0.00000
       5.5687939   4.2225810e-15      0.00000
       5.5731030   4.2368619e-15      0.00000
       5.5774120   4.2511429e-15      0.00000
       5.5817211   4.2691498e-15      0.00000
       5.5860301   4.3080170e-15      0.00000
       5.5903392   4.3468841e-15      0.00000
       5.5946482   4.3857513e-15      0.00000
       5.5989572   4.4246184e-15      0.00000
       5.6032663   4.4634856e-15      0.00000
       5.6075753   4.5125130e-15      0.00000
       5.6118844   4.5647921e-15      0.00000
       5.6161934   4.6170712e-15      0.00000
       5.6205025   4.6693502e-15      0.00000
       5.6248115   4.7216293e-15      0.00000
       5.6291206   4.7761247e-15      0.00000
       5.6334296   4.8344980e-15      0.00000
       5.6377387   4.8928712e-15      0.00000
       5.6420477   4.9512445e-15      0.00000
       5.6463567   5.0096178e-15      0.00000
       5.6506658   5.0679911e-15      0.00000
       5.6549748   5.1269775e-15      0.00000
       5.6592839   5.1859830e-15      0.00000
