ORIGINAL FILENAME:
Qkl_094_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   5.8459491e-19      0.00000
       5.0043090   5.9943504e-19      0.00000
       5.0086181   6.1427517e-19      0.00000
       5.0129271   6.2911531e-19      0.00000
       5.0172362   6.4395544e-19      0.00000
       5.0215452   6.5879557e-19      0.00000
       5.0258543   6.7444333e-19      0.00000
       5.0301633   6.9061591e-19      0.00000
       5.0344724   7.0678850e-19      0.00000
       5.0387814   7.2296108e-19      0.00000
       5.0430904   7.3913367e-19      0.00000
       5.0473995   7.5554086e-19      0.00000
       5.0517085   7.7281940e-19      0.00000
       5.0560176   7.9009794e-19      0.00000
       5.0603266   8.0737648e-19      0.00000
       5.0646357   8.2465502e-19      0.00000
       5.0689447   8.4193356e-19      0.00000
       5.0732538   8.6014137e-19      0.00000
       5.0775628   8.7855573e-19      0.00000
       5.0818719   8.9697010e-19      0.00000
       5.0861809   9.1538447e-19      0.00000
       5.0904899   9.3379884e-19      0.00000
       5.0947990   9.5253214e-19      0.00000
       5.0991080   9.7169826e-19      0.00000
       5.1034171   9.9086437e-19      0.00000
       5.1077261   1.0100305e-18      0.00000
       5.1120352   1.0291966e-18      0.00000
       5.1163442   1.0483768e-18      0.00000
       5.1206533   1.0680075e-18      0.00000
       5.1249623   1.0876382e-18      0.00000
       5.1292713   1.1072689e-18      0.00000
       5.1335804   1.1268996e-18      0.00000
       5.1378894   1.1465304e-18      0.00000
       5.1421985   1.1661861e-18      0.00000
       5.1465075   1.1858562e-18      0.00000
       5.1508166   1.2055263e-18      0.00000
       5.1551256   1.2251963e-18      0.00000
       5.1594347   1.2448664e-18      0.00000
       5.1637437   1.2644859e-18      0.00000
       5.1680528   1.2839472e-18      0.00000
       5.1723618   1.3034085e-18      0.00000
       5.1766708   1.3228698e-18      0.00000
       5.1809799   1.3423311e-18      0.00000
       5.1852889   1.3617924e-18      0.00000
       5.1895980   1.3810100e-18      0.00000
       5.1939070   1.4001840e-18      0.00000
       5.1982161   1.4193580e-18      0.00000
       5.2025251   1.4385319e-18      0.00000
       5.2068342   1.4577059e-18      0.00000
       5.2111432   1.4767807e-18      0.00000
       5.2154522   1.4957364e-18      0.00000
       5.2197613   1.5146921e-18      0.00000
       5.2240703   1.5336478e-18      0.00000
       5.2283794   1.5526034e-18      0.00000
       5.2326884   1.5715834e-18      0.00000
       5.2369975   1.5909397e-18      0.00000
       5.2413065   1.6102959e-18      0.00000
       5.2456156   1.6296522e-18      0.00000
       5.2499246   1.6490084e-18      0.00000
       5.2542337   1.6683647e-18      0.00000
       5.2585427   1.6884932e-18      0.00000
       5.2628517   1.7090079e-18      0.00000
       5.2671608   1.7295227e-18      0.00000
       5.2714698   1.7500374e-18      0.00000
       5.2757789   1.7705521e-18      0.00000
       5.2800879   1.7919776e-18      0.00000
       5.2843970   1.8158313e-18      0.00000
       5.2887060   1.8396850e-18      0.00000
       5.2930151   1.8635387e-18      0.00000
       5.2973241   1.8873924e-18      0.00000
       5.3016331   1.9112461e-18      0.00000
       5.3059422   1.9409497e-18      0.00000
       5.3102512   1.9714601e-18      0.00000
       5.3145603   2.0019706e-18      0.00000
       5.3188693   2.0324811e-18      0.00000
       5.3231784   2.0629916e-18      0.00000
       5.3274874   2.1001834e-18      0.00000
       5.3317965   2.1444729e-18      0.00000
       5.3361055   2.1887624e-18      0.00000
       5.3404145   2.2330518e-18      0.00000
       5.3447236   2.2773413e-18      0.00000
       5.3490326   2.3239750e-18      0.00000
       5.3533417   2.3940520e-18      0.00000
       5.3576507   2.4641291e-18      0.00000
       5.3619598   2.5342061e-18      0.00000
       5.3662688   2.6042831e-18      0.00000
       5.3705779   2.6743601e-18      0.00000
       5.3748869   2.7764495e-18      0.00000
       5.3791960   2.8924536e-18      0.00000
       5.3835050   3.0084578e-18      0.00000
       5.3878140   3.1244619e-18      0.00000
       5.3921231   3.2404661e-18      0.00000
       5.3964321   3.3788959e-18      0.00000
       5.4007412   3.5689037e-18      0.00000
       5.4050502   3.7589116e-18      0.00000
       5.4093593   3.9489194e-18      0.00000
       5.4136683   4.1389272e-18      0.00000
       5.4179774   4.3289351e-18      0.00000
       5.4222864   4.6201805e-18      0.00000
       5.4265954   4.9215555e-18      0.00000
       5.4309045   5.2229305e-18      0.00000
       5.4352135   5.5243055e-18      0.00000
       5.4395226   5.8256805e-18      0.00000
       5.4438316   6.2038026e-18      0.00000
       5.4481407   6.6541540e-18      0.00000
       5.4524497   7.1045053e-18      0.00000
       5.4567588   7.5548567e-18      0.00000
       5.4610678   8.0052080e-18      0.00000
       5.4653769   8.4779785e-18      0.00000
       5.4696859   9.1133489e-18      0.00000
       5.4739949   9.7487193e-18      0.00000
       5.4783040   1.0384090e-17      0.00000
       5.4826130   1.1019460e-17      0.00000
       5.4869221   1.1654830e-17      0.00000
       5.4912311   1.2443414e-17      0.00000
       5.4955402   1.3289447e-17      0.00000
       5.4998492   1.4135479e-17      0.00000
       5.5041583   1.4981512e-17      0.00000
       5.5084673   1.5827545e-17      0.00000
       5.5127763   1.6747260e-17      0.00000
       5.5170854   1.7814363e-17      0.00000
       5.5213944   1.8881465e-17      0.00000
       5.5257035   1.9948568e-17      0.00000
       5.5300125   2.1015671e-17      0.00000
       5.5343216   2.2082773e-17      0.00000
       5.5386306   2.3359154e-17      0.00000
       5.5429397   2.4649030e-17      0.00000
       5.5472487   2.5938906e-17      0.00000
       5.5515578   2.7228782e-17      0.00000
       5.5558668   2.8518658e-17      0.00000
       5.5601758   2.9920666e-17      0.00000
       5.5644849   3.1416126e-17      0.00000
       5.5687939   3.2911587e-17      0.00000
       5.5731030   3.4407048e-17      0.00000
       5.5774120   3.5902509e-17      0.00000
       5.5817211   3.7426098e-17      0.00000
