ORIGINAL FILENAME:
Qkl_211_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.0000000   7.6080520e-16      0.00000
       5.0043090   7.7439863e-16      0.00000
       5.0086181   7.8799205e-16      0.00000
       5.0129271   8.0158547e-16      0.00000
       5.0172362   8.1517889e-16      0.00000
       5.0215452   8.2877231e-16      0.00000
       5.0258543   8.4331819e-16      0.00000
       5.0301633   8.5848301e-16      0.00000
       5.0344724   8.7364784e-16      0.00000
       5.0387814   8.8881266e-16      0.00000
       5.0430904   9.0397748e-16      0.00000
       5.0473995   9.1956697e-16      0.00000
       5.0517085   9.3673370e-16      0.00000
       5.0560176   9.5390044e-16      0.00000
       5.0603266   9.7106717e-16      0.00000
       5.0646357   9.8823391e-16      0.00000
       5.0689447   1.0054006e-15      0.00000
       5.0732538   1.0247278e-15      0.00000
       5.0775628   1.0445353e-15      0.00000
       5.0818719   1.0643427e-15      0.00000
       5.0861809   1.0841501e-15      0.00000
       5.0904899   1.1039576e-15      0.00000
       5.0947990   1.1249805e-15      0.00000
       5.0991080   1.1476528e-15      0.00000
       5.1034171   1.1703252e-15      0.00000
       5.1077261   1.1929976e-15      0.00000
       5.1120352   1.2156700e-15      0.00000
       5.1163442   1.2384349e-15      0.00000
       5.1206533   1.2641659e-15      0.00000
       5.1249623   1.2898968e-15      0.00000
       5.1292713   1.3156278e-15      0.00000
       5.1335804   1.3413588e-15      0.00000
       5.1378894   1.3670897e-15      0.00000
       5.1421985   1.3946476e-15      0.00000
       5.1465075   1.4232494e-15      0.00000
       5.1508166   1.4518511e-15      0.00000
