ORIGINAL FILENAME:
Qkl_131_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       5.5903392   1.9441518e-15      0.00000
       5.5946482   1.9998708e-15      0.00000
       5.5989572   2.0555899e-15      0.00000
       5.6032663   2.1113090e-15      0.00000
       5.6075753   2.1655905e-15      0.00000
       5.6118844   2.2194119e-15      0.00000
       5.6161934   2.2732334e-15      0.00000
       5.6205025   2.3270548e-15      0.00000
       5.6248115   2.3808762e-15      0.00000
       5.6291206   2.4333070e-15      0.00000
       5.6334296   2.4833046e-15      0.00000
       5.6377387   2.5333021e-15      0.00000
       5.6420477   2.5832997e-15      0.00000
       5.6463567   2.6332972e-15      0.00000
       5.6506658   2.6832948e-15      0.00000
       5.6549748   2.7270711e-15      0.00000
       5.6592839   2.7706529e-15      0.00000
       5.6635929   2.8142347e-15      0.00000
       5.6679020   2.8578164e-15      0.00000
       5.6722110   2.9013982e-15      0.00000
       5.6765201   2.9401855e-15      0.00000
       5.6808291   2.9754406e-15      0.00000
       5.6851381   3.0106957e-15      0.00000
       5.6894472   3.0459509e-15      0.00000
       5.6937562   3.0812060e-15      0.00000
       5.6980653   3.1101765e-15      0.00000
       5.7023743   3.1384984e-15      0.00000
       5.7066834   3.1650499e-15      0.00000
       5.7109924   3.1896233e-15      0.00000
       5.7153015   3.2122146e-15      0.00000
       5.7196105   3.2326259e-15      0.00000
       5.7239195   3.2504814e-15      0.00000
       5.7282286   3.2662866e-15      0.00000
       5.7325376   3.2800105e-15      0.00000
       5.7368467   3.2916186e-15      0.00000
       5.7411557   3.3006693e-15      0.00000
       5.7454648   3.3070675e-15      0.00000
       5.7497738   3.3111526e-15      0.00000
       5.7540829   3.3129132e-15      0.00000
       5.7583919   3.3123634e-15      0.00000
       5.7627010   3.3090141e-15      0.00000
       5.7670100   3.3033361e-15      0.00000
       5.7713190   3.2955878e-15      0.00000
       5.7756281   3.2858079e-15      0.00000
       5.7799371   3.2740300e-15      0.00000
       5.7842462   3.2595995e-15      0.00000
       5.7885552   3.2432011e-15      0.00000
       5.7928643   3.2248566e-15      0.00000
       5.7971733   3.2045619e-15      0.00000
       5.8014824   3.1821607e-15      0.00000
       5.8057914   3.1572885e-15      0.00000
       5.8101004   3.1306228e-15      0.00000
       5.8144095   3.1022423e-15      0.00000
       5.8187185   3.0722210e-15      0.00000
       5.8230276   3.0403909e-15      0.00000
       5.8273366   3.0067722e-15      0.00000
       5.8316457   2.9717210e-15      0.00000
       5.8359547   2.9352672e-15      0.00000
       5.8402638   2.8974341e-15      0.00000
       5.8445728   2.8579117e-15      0.00000
       5.8488819   2.8168882e-15      0.00000
       5.8531909   2.7745529e-15      0.00000
       5.8574999   2.7309698e-15      0.00000
       5.8618090   2.6862255e-15      0.00000
       5.8661180   2.6401222e-15      0.00000
       5.8704271   2.5930766e-15      0.00000
       5.8747361   2.5451846e-15      0.00000
       5.8790452   2.4965048e-15      0.00000
       5.8833542   2.4470542e-15      0.00000
       5.8876633   2.3967353e-15      0.00000
       5.8919723   2.3458034e-15      0.00000
       5.8962813   2.2942864e-15      0.00000
       5.9005904   2.2422140e-15      0.00000
       5.9048994   2.1895569e-15      0.00000
       5.9092085   2.1364396e-15      0.00000
       5.9135175   2.0830663e-15      0.00000
       5.9178266   2.0295161e-15      0.00000
       5.9221356   1.9758628e-15      0.00000
       5.9264447   1.9221926e-15      0.00000
       5.9307537   1.8685898e-15      0.00000
       5.9350628   1.8151070e-15      0.00000
       5.9393718   1.7617831e-15      0.00000
       5.9436808   1.7086503e-15      0.00000
       5.9479899   1.6558221e-15      0.00000
       5.9522989   1.6032863e-15      0.00000
       5.9566080   1.5511132e-15      0.00000
       5.9609170   1.4993843e-15      0.00000
       5.9652261   1.4482068e-15      0.00000
       5.9695351   1.3978967e-15      0.00000
       5.9738442   1.3483141e-15      0.00000
       5.9781532   1.2995041e-15      0.00000
       5.9824622   1.2515061e-15      0.00000
       5.9867713   1.2044584e-15      0.00000
       5.9910803   1.1585075e-15      0.00000
       5.9953894   1.1134572e-15      0.00000
       5.9996984   1.0693058e-15      0.00000
       6.0040075   1.0260655e-15      0.00000
       6.0083165   9.8402835e-16      0.00000
       6.0126256   9.4321221e-16      0.00000
       6.0169346   9.0349379e-16      0.00000
       6.0212436   8.6489810e-16      0.00000
       6.0255527   8.2744426e-16      0.00000
       6.0298617   7.9148320e-16      0.00000
       6.0341708   7.5675298e-16      0.00000
       6.0384798   7.2316634e-16      0.00000
       6.0427889   6.9071156e-16      0.00000
       6.0470979   6.5938654e-16      0.00000
       6.0514070   6.2952067e-16      0.00000
       6.0557160   6.0073309e-16      0.00000
       6.0600251   5.7303465e-16      0.00000
       6.0643341   5.4643154e-16      0.00000
       6.0686431   5.2103221e-16      0.00000
       6.0729522   4.9699468e-16      0.00000
       6.0772612   4.7400957e-16      0.00000
       6.0815703   4.5205267e-16      0.00000
       6.0858793   4.3109771e-16      0.00000
       6.0901884   4.1128374e-16      0.00000
       6.0944974   3.9254144e-16      0.00000
       6.0988065   3.7466334e-16      0.00000
       6.1031155   3.5761934e-16      0.00000
       6.1074245   3.4138452e-16      0.00000
       6.1117336   3.2615746e-16      0.00000
       6.1160426   3.1176295e-16      0.00000
       6.1203517   2.9810514e-16      0.00000
       6.1246607   2.8515907e-16      0.00000
       6.1289698   2.7289771e-16      0.00000
       6.1332788   2.6150325e-16      0.00000
       6.1375879   2.5070130e-16      0.00000
       6.1418969   2.4045747e-16      0.00000
       6.1462060   2.3074037e-16      0.00000
       6.1505150   2.2155244e-16      0.00000
       6.1548240   2.1294045e-16      0.00000
       6.1591331   2.0475754e-16      0.00000
       6.1634421   1.9698947e-16      0.00000
       6.1677512   1.8962114e-16      0.00000
       6.1720602   1.8269419e-16      0.00000
       6.1763693   1.7618770e-16      0.00000
       6.1806783   1.7000822e-16      0.00000
       6.1849874   1.6413703e-16      0.00000
       6.1892964   1.5855546e-16      0.00000
       6.1936054   1.5330340e-16      0.00000
       6.1979145   1.4831246e-16      0.00000
       6.2022235   1.4353809e-16      0.00000
       6.2065326   1.3897069e-16      0.00000
       6.2108416   1.3460465e-16      0.00000
       6.2151507   1.3049789e-16      0.00000
       6.2194597   1.2658045e-16      0.00000
       6.2237688   1.2283968e-16      0.00000
       6.2280778   1.1926783e-16      0.00000
       6.2323869   1.1586532e-16      0.00000
       6.2366959   1.1265344e-16      0.00000
       6.2410049   1.0957369e-16      0.00000
       6.2453140   1.0661687e-16      0.00000
       6.2496230   1.0377397e-16      0.00000
       6.2539321   1.0104918e-16      0.00000
       6.2582411   9.8448192e-17      0.00000
       6.2625502   9.5949805e-17      0.00000
       6.2668592   9.3553245e-17      0.00000
       6.2711683   9.1256970e-17      0.00000
       6.2754773   8.9079497e-17      0.00000
       6.2797863   8.7004602e-17      0.00000
       6.2840954   8.5014680e-17      0.00000
       6.2884044   8.3104665e-17      0.00000
       6.2927135   8.1269271e-17      0.00000
       6.2970225   7.9520877e-17      0.00000
       6.3013316   7.7832682e-17      0.00000
       6.3056406   7.6200748e-17      0.00000
       6.3099497   7.4624937e-17      0.00000
       6.3142587   7.3108391e-17      0.00000
       6.3185678   7.1666760e-17      0.00000
       6.3228768   7.0279964e-17      0.00000
       6.3271858   6.8946241e-17      0.00000
       6.3314949   6.7663654e-17      0.00000
       6.3358039   6.6435579e-17      0.00000
       6.3401130   6.5262714e-17      0.00000
       6.3444220   6.4131120e-17      0.00000
       6.3487311   6.3038143e-17      0.00000
       6.3530401   6.1981463e-17      0.00000
       6.3573492   6.0966870e-17      0.00000
       6.3616582   5.9992481e-17      0.00000
       6.3659672   5.9052632e-17      0.00000
       6.3702763   5.8146834e-17      0.00000
       6.3745853   5.7274455e-17      0.00000
       6.3788944   5.6443764e-17      0.00000
       6.3832034   5.5645724e-17      0.00000
       6.3875125   5.4876994e-17      0.00000
       6.3918215   5.4136339e-17      0.00000
       6.3961306   5.3422937e-17      0.00000
       6.4004396   5.2742601e-17      0.00000
       6.4047486   5.2085301e-17      0.00000
       6.4090577   5.1450575e-17      0.00000
       6.4133667   5.0837921e-17      0.00000
